subj_id,eye,left_x,left_y,right_x,right_y,top_x,top_y,bottom_x,bottom_y,center_x,center_y,source_file
SV018,L,734.26,1158.01,1146.76,1158.01,940.51,974.26,940.51,1341.76,940.51,1158.01,SV018_na_BS.mat
SV018,R,2675.74,1169.26,3006.57,1169.26,2841.16,954.26,2841.16,1384.26,2841.16,1169.26,SV018_na_BS.mat
