subj_id,eye,left_x,left_y,right_x,right_y,top_x,top_y,bottom_x,bottom_y,center_x,center_y,source_file
SV029,L,759.26,1280.84,1084.26,1280.84,921.76,1060.84,921.76,1500.84,921.76,1280.84,SV029_na_BS.mat
SV029,R,2769.49,1224.17,3073.24,1224.17,2921.37,1019.17,2921.37,1429.17,2921.37,1224.17,SV029_na_BS.mat
