subj_id,eye,left_x,left_y,right_x,right_y,top_x,top_y,bottom_x,bottom_y,center_x,center_y,source_file
SV019,L,926.76,1222.59,1128.01,1222.59,1027.38,1081.76,1027.38,1363.43,1027.38,1222.59,SV019_na_BS.mat
SV019,R,2673.24,1232.8,2864.91,1232.8,2769.07,1130.51,2769.07,1335.09,2769.07,1232.8,SV019_na_BS.mat
