subj_id,eye,left_x,left_y,right_x,right_y,top_x,top_y,bottom_x,bottom_y,center_x,center_y,source_file
SV032,L,851.56,1184.54,1087.12,1184.54,969.34,1070.78,969.34,1298.31,969.34,1184.54,SV032_with_BS.mat
SV032,R,2759.82,1210.76,2930.62,1210.76,2845.22,1115.09,2845.22,1306.43,2845.22,1210.76,SV032_with_BS.mat
