subj_id,eye,left_x,left_y,right_x,right_y,top_x,top_y,bottom_x,bottom_y,center_x,center_y,source_file
SV020,L,894.76,1312.26,1193.76,1312.26,1044.26,1135.76,1044.26,1488.76,1044.26,1312.26,SV020_na_BS.mat
SV020,R,2768.24,1251.76,3044.49,1251.76,2906.37,1084.26,2906.37,1419.26,2906.37,1251.76,SV020_na_BS.mat
