subj_id,eye,left_x,left_y,right_x,right_y,top_x,top_y,bottom_x,bottom_y,center_x,center_y,source_file
SV028,L,774.26,1099.59,1136.76,1099.59,955.51,900.84,955.51,1298.34,955.51,1099.59,SV028_na_BS.mat
SV028,R,2771.57,1187.72,3126.57,1187.72,2949.07,968.34,2949.07,1407.09,2949.07,1187.72,SV028_na_BS.mat
