subjID,eye,left_x,left_y,top_x,top_y,right_x,right_y,bottom_x,bottom_y,center_x,center_y,radius_hor_deg,radius_ver_deg,dist_from_fixation_deg,dist_from_hor_meridian_deg,dist_from_ver_meridian_deg,width_in_deg,height_in_deg,source_file
SV019,R,2673.24082562448,1232.80084104219,2769.07415895781,1130.50917437552,2864.90749229115,1232.80084104219,2769.07415895781,1335.09250770885,2769.07415895781,1232.80084104219,1.51,1.61,13.55,13.34,2.4,3.01,3.21,SV019_na_BS.mat
SV020,L,894.75917437552,1312.25917437552,1044.25917437552,1135.75917437552,1193.75917437552,1312.25917437552,1044.25917437552,1488.75917437552,1044.25917437552,1312.25917437552,2.35,2.77,14.23,13.75,3.65,4.7,5.54,SV020_na_BS.mat
SV020,R,2768.24082562448,1251.75917437552,2906.36582562448,1084.25917437552,3044.49082562448,1251.75917437552,2906.36582562448,1419.25917437552,2906.36582562448,1251.75917437552,2.17,2.63,15.73,15.49,2.7,4.34,5.26,SV020_na_BS.mat
SV021,L,895.092507708853,1142.5,1039.25917437552,993.333333333333,1183.42584104219,1142.5,1039.25917437552,1291.66666666667,1039.25917437552,1142.5,2.26,2.34,13.87,13.83,0.98,4.53,4.69,SV021_na_BS.mat
SV021,R,2679.49082562448,1185,2823.86582562448,1031.25,2968.24082562448,1185,2823.86582562448,1338.75,2823.86582562448,1185,2.27,2.41,14.29,14.2,1.65,4.54,4.83,SV021_na_BS.mat
SV022,L,731.75917437552,1256.67468879076,877.592507708853,1172.5080221241,1023.42584104219,1256.67468879076,877.592507708853,1340.84135545743,877.592507708853,1256.67468879076,2.29,1.32,16.61,16.37,2.77,4.58,2.64,SV022_na_BS.mat
SV022,R,2818.24082562448,1303.34135545743,2964.07415895781,1175.84135545743,3109.90749229115,1303.34135545743,2964.07415895781,1430.84135545743,2964.07415895781,1303.34135545743,2.29,2,16.77,16.4,3.51,4.58,4.01,SV022_na_BS.mat
SV023,L,806.75917437552,1136.67468879076,997.38417437552,962.508022124096,1188.00917437552,1136.67468879076,997.38417437552,1310.84135545743,997.38417437552,1136.67468879076,2.99,2.74,14.52,14.49,0.89,5.99,5.47,SV023_na_BS.mat
SV023,R,2750.74082562448,1138.34135545743,2898.24082562448,955.841355457429,3045.74082562448,1138.34135545743,2898.24082562448,1320.84135545743,2898.24082562448,1138.34135545743,2.32,2.87,15.39,15.36,0.92,4.63,5.73,SV023_na_BS.mat
SV024,L,786.75917437552,1148.96635545743,939.25917437552,955.841355457429,1091.75917437552,1148.96635545743,939.25917437552,1342.09135545743,939.25917437552,1148.96635545743,2.4,3.03,15.44,15.4,1.08,4.79,6.07,SV024_na_BS.mat
SV024,R,2733.24082562448,1133.34135545743,2924.90749229115,917.508022124096,3116.57415895781,1133.34135545743,2924.90749229115,1349.17468879076,2924.90749229115,1133.34135545743,3.01,3.39,15.81,15.78,0.84,6.02,6.78,SV024_na_BS.mat
SV025,L,828.00917437552,1171.67468879076,1013.63417437552,982.508022124096,1199.25917437552,1171.67468879076,1013.63417437552,1360.84135545743,1013.63417437552,1171.67468879076,2.92,2.97,14.31,14.24,1.44,5.83,5.94,SV025_na_BS.mat
SV025,R,2679.90749229115,1111.67468879076,2882.40749229115,900.841355457429,3084.90749229115,1111.67468879076,2882.40749229115,1322.5080221241,2882.40749229115,1111.67468879076,3.18,3.31,15.12,15.12,0.5,6.36,6.62,SV025_na_BS.mat
SV026,L,753.425841042186,1250.0080221241,898.425841042186,1092.5080221241,1043.42584104219,1250.0080221241,898.425841042186,1407.5080221241,898.425841042186,1250.0080221241,2.28,2.47,16.27,16.04,2.67,4.55,4.95,SV026_na_BS.mat
SV026,R,2783.24082562448,1255.84135545743,2953.24082562448,1079.17468879076,3123.24082562448,1255.84135545743,2953.24082562448,1432.5080221241,2953.24082562448,1255.84135545743,2.67,2.77,16.46,16.23,2.76,5.34,5.55,SV026_na_BS.mat
SV027,L,835.925841042187,1065.84135545743,911.842507708853,949.174688790763,987.75917437552,1065.84135545743,911.842507708853,1182.5080221241,911.842507708853,1065.84135545743,1.19,1.83,15.84,15.83,0.22,2.38,3.66,SV027_na_BS.mat
SV027,R,2864.24082562448,1258.96635545743,2974.99082562448,1148.34135545743,3085.74082562448,1258.96635545743,2974.99082562448,1369.59135545743,2974.99082562448,1258.96635545743,1.74,1.74,16.81,16.57,2.81,3.48,3.47,SV027_na_BS.mat
SV028,L,774.25917437552,1099.59135545743,955.50917437552,900.841355457429,1136.75917437552,1099.59135545743,955.50917437552,1298.34135545743,955.50917437552,1099.59135545743,2.85,3.12,15.15,15.15,0.31,5.69,6.24,SV028_na_BS.mat
SV028,R,2771.57415895781,1187.71635545743,2949.07415895781,968.341355457429,3126.57415895781,1187.71635545743,2949.07415895781,1407.09135545743,2949.07415895781,1187.71635545743,2.79,3.45,16.25,16.16,1.69,5.58,6.89,SV028_na_BS.mat
