subject_id,location,pcommon,sigma_v,sigma_a,sigma_p,mu_p,dU,dD,error,bic,r2,strategy,fit_type
SV009,blindspot,1.0,0.9970024005613,0.9267206439270036,1.637318156531662,0.5118549751264447,0,0,166.54506148836245,355.01267867009284,0.6378835887466188,Averaging,mll
SV012,blindspot,1.0,0.9988603136388768,0.2718825497209789,2.139855054041349,2.6652213583897253,0,0,108.69121597415506,239.30498764167808,0.9187580438593344,Averaging,mll
SV013,blindspot,1.0,0.9995513205355776,0.3030390896127317,0.6713785222377935,1.723667879451966,0,0,82.52556029082669,186.97367627502132,0.9652728133833736,Averaging,mll
SV017,blindspot,1.0,0.9930539015354946,0.670293505537551,1.2012029658350407,0.2100211562766778,0,0,157.0102543836325,335.94306446063297,0.5721864264621085,Averaging,mll
SV018,blindspot,1.0,0.9979775583952578,0.2189796513474667,0.8293596347248586,2.8386551029069587,0,0,35.140383044796074,92.20332178296012,0.9877683086733948,Averaging,mll
SV019,blindspot,1.0,0.9948741386993476,0.3552661161676234,0.4429225726289592,1.7147554340414528,0,0,66.323041200407,154.56863809418198,0.7684441543370795,Averaging,mll
SV020,blindspot,1.0,0.999874110345701,0.3339973738610368,0.9602146658953326,1.6482556064298903,0,0,82.7271215445277,187.37679878242335,0.9468134379440668,Averaging,mll
SV021,blindspot,1.0,0.9847856259804224,0.2011959597714095,1.8358735629038485,2.968940879584886,0,0,40.83061488796133,103.58378546929065,0.9906184298216588,Averaging,mll
SV022,blindspot,1.0,0.9759061091837118,0.4952337744465088,0.8671276283901469,1.5428022544647548,0,0,121.31068861025952,264.54393291388703,0.8538096236250079,Averaging,mll
SV023,blindspot,1.0,0.9128285954981392,0.263545361836092,2.513108718566861,2.925177579262716,0,0,66.56102328132515,155.0446022560183,0.9857896764300434,Averaging,mll
SV024,blindspot,1.0,0.9858938537215546,0.4105293210139051,0.6168624745243295,1.7779881058871367,0,0,73.01013256018192,167.9428208137318,0.8505369156626714,Averaging,mll
SV025,blindspot,1.0,0.9684815805331992,0.4305591640304651,0.730414242489769,1.875291906168754,0,0,96.16063439739372,214.24382448815535,0.8585098108945066,Averaging,mll
SV026,blindspot,1.0,0.9978297427271748,0.2597858310673762,0.6749970094500002,2.121956312541728,0,0,51.879433783244735,125.68142325985744,0.9773232160077968,Averaging,mll
SV027,blindspot,1.0,0.9994476803792324,0.799278119133453,1.1751571665914722,0.1025350436025188,0,0,195.27361186288695,412.4697794191419,0.3490100876500444,Averaging,mll
SV028,blindspot,1.0,0.9981454441391844,0.5317010516850188,0.8160965311972344,1.5585659179854443,0,0,116.43949869947292,254.8015530923138,0.9111562581235148,Averaging,mll
SV029,blindspot,1.0,0.989638435606666,0.4535455671809135,0.5395925295895243,2.0419243622188854,0,0,72.09901538952715,166.12058647242227,0.8504438315931162,Averaging,mll
SV030,blindspot,1.0,0.9996178507464388,0.2783364443166192,0.5221177717524964,1.943601417092768,0,0,37.91012026794324,97.74279622925444,0.9785802344045204,Averaging,mll
SV031,blindspot,1.0,0.968335131314328,0.2616569856234534,0.5147572842665379,2.301947413768882,0,0,56.029455969157965,133.9814676316839,0.9839169119030224,Averaging,mll
SV032,blindspot,1.0,0.996696294782814,0.705098792558618,1.1441254116366248,0.1201031562978964,0,0,152.40631463732953,326.735184968027,0.5293203402502866,Averaging,mll
SV033,blindspot,1.0,0.753209434364686,0.3188147113849136,1.0894730566868076,0.8609061965865025,0,0,107.53188863281466,236.98633295899728,0.928082350604148,Averaging,mll
SV009,control,1.0,0.8974181577895192,0.4739526680955999,0.9521157639058978,2.719972881261105,0,0,91.76193552705868,205.44642674748533,0.8915764807541372,Averaging,mll
SV012,control,1.0,0.5290206125322212,0.2419148080190673,0.4378049120215257,2.8621491074386336,0,0,52.13965631267988,126.20186831872772,0.9790879552115108,Averaging,mll
SV013,control,1.0,0.5014786377734978,0.2498799198057373,0.5888440453734081,1.893550664122073,0,0,55.09685899710853,132.11627368758502,0.9772453405442864,Averaging,mll
SV017,control,1.0,0.8366960195203821,0.3872888626266272,0.4354610550724521,1.8852005941075312,0,0,63.67930175420369,149.28115920177535,0.7699904405022916,Averaging,mll
SV018,control,1.0,0.5483025456903405,0.2187656763090004,0.3641352728967318,2.7069012945951783,0,0,30.325353145343684,82.57326198405534,0.9939964257720386,Averaging,mll
SV019,control,1.0,0.9943121809479752,0.4019994423234139,0.4813968102012627,1.756308654442368,0,0,69.03207502117667,159.9867057357213,0.7652863318254582,Averaging,mll
SV020,control,1.0,0.8194701488860429,0.2936427344899294,0.6747318862650326,2.297815781681632,0,0,74.64030732869946,171.2031703507669,0.9779737480199966,Averaging,mll
SV021,control,1.0,0.5457427875894023,0.2150506463126955,0.4820077894535753,2.8777414386109763,0,0,32.71234056783235,87.34723682903267,0.99359083482911,Averaging,mll
SV022,control,1.0,0.9862859851033008,0.371898940120905,0.7628695680446911,2.1992142584391376,0,0,80.97009445303559,183.86274459943917,0.95796513256207,Averaging,mll
SV023,control,1.0,0.8224622858980299,0.220450897450936,1.2933541791743146,2.9987774593508427,0,0,58.5882663957138,139.09908848479557,0.9940920204383396,Averaging,mll
SV024,control,1.0,0.7630829550398893,0.415989974635348,0.3549483595659518,2.343539556074985,0,0,67.1545615313204,156.23167875600876,0.8874407736015355,Averaging,mll
SV025,control,1.0,0.6770827983296118,0.3684379833502284,0.6586379246701062,1.8989429576911565,0,0,76.9336004527796,175.78975659892717,0.874672245892919,Averaging,mll
SV026,control,1.0,0.4510357076049408,0.1968320132368053,0.405497282366837,2.395285288626695,0,0,30.07842354091084,82.07940277518964,0.9982274007997108,Averaging,mll
SV027,control,1.0,0.9986989247619508,0.7901453962236716,1.307929680222287,0.1099952161364529,0,0,187.3527388371534,396.62803336767473,0.4281325196814526,Averaging,mll
SV028,control,1.0,0.999783096157024,0.4452055709179517,0.8279297656827154,1.952947899885972,0,0,102.34430861540332,226.6111729241746,0.9277306350852084,Averaging,mll
SV029,control,1.0,0.9997805779751447,0.4827308461497468,0.600223413685634,2.086169339511974,0,0,74.85858406898991,171.6397238313478,0.8531867553310548,Averaging,mll
SV030,control,1.0,0.4844111718875137,0.2751694603216142,0.5432551611360227,2.095154021808519,0,0,49.54567558264993,121.01390685866782,0.9350859130434775,Averaging,mll
SV031,control,1.0,0.638155830200923,0.2198841324262518,0.3821615350785191,2.441067481425349,0,0,35.0577528298092,92.03806135298638,0.9979043562292386,Averaging,mll
SV032,control,1.0,0.8411203424516138,0.4477594712718899,0.5115016304434387,2.02625981410518,0,0,68.01883329109691,157.9602222755618,0.7915552679575251,Averaging,mll
SV033,control,1.0,0.9520689599834408,0.2988428783337455,0.7701681801365284,2.3617927976827318,0,0,77.18869870883914,176.29995311104625,0.9814473346949628,Averaging,mll
