subject_id,location,pcommon,sigma_v,sigma_a,sigma_p,mu_p,dU,dD,error,bic,r2,strategy,fit_type
SV009,blindspot,1.0,0.9970024005613001,0.9267206439270037,1.637318156531662,0.5118549751264447,0,0,166.54506148836245,355.01267867009284,0.6378835887466188,Averaging,mll
SV009,blindspot,1.0,0.9970024005613001,0.9267206439270037,1.637318156531662,0.5118549751264447,0,0,166.54506148836245,355.01267867009284,0.6378835887466188,Selection,mll
SV009,blindspot,1.0,0.9970024005613001,0.9267206439270037,1.637318156531662,0.5118549751264447,0,0,166.54506148836245,355.01267867009284,0.6378835887466188,Matching,mll
SV012,blindspot,1.0,0.9988603136388767,0.2718825497209789,2.1398550540413495,2.6652213583897253,0,0,108.69121597415506,239.30498764167808,0.9187580438593345,Averaging,mll
SV012,blindspot,1.0,0.9988603136388767,0.2718825497209789,2.1398550540413495,2.6652213583897253,0,0,108.69121597415506,239.30498764167808,0.9187580438593345,Selection,mll
SV012,blindspot,1.0,0.9988603136388767,0.2718825497209789,2.1398550540413495,2.6652213583897253,0,0,108.69121597415506,239.30498764167808,0.9187580438593345,Matching,mll
SV013,blindspot,1.0,0.9995513205355777,0.30303908961273174,0.6713785222377935,1.723667879451966,0,0,82.52556029082669,186.97367627502135,0.9652728133833737,Averaging,mll
SV013,blindspot,1.0,0.9995513205355777,0.30303908961273174,0.6713785222377935,1.723667879451966,0,0,82.52556029082669,186.97367627502135,0.9652728133833737,Selection,mll
SV013,blindspot,1.0,0.9995513205355777,0.30303908961273174,0.6713785222377935,1.723667879451966,0,0,82.52556029082669,186.97367627502135,0.9652728133833737,Matching,mll
SV017,blindspot,1.0,0.9930539015354946,0.670293505537551,1.2012029658350407,0.2100211562766778,0,0,157.0102543836325,335.94306446063297,0.5721864264621085,Averaging,mll
SV017,blindspot,1.0,0.9930539015354946,0.670293505537551,1.2012029658350407,0.2100211562766778,0,0,157.0102543836325,335.94306446063297,0.5721864264621085,Selection,mll
SV017,blindspot,1.0,0.9930539015354946,0.670293505537551,1.2012029658350407,0.2100211562766778,0,0,157.0102543836325,335.94306446063297,0.5721864264621085,Matching,mll
SV018,blindspot,1.0,0.9979775583952578,0.21897965134746675,0.8293596347248586,2.8386551029069587,0,0,35.140383044796074,92.20332178296012,0.9877683086733947,Averaging,mll
SV018,blindspot,1.0,0.9979775583952578,0.21897965134746675,0.8293596347248586,2.8386551029069587,0,0,35.140383044796074,92.20332178296012,0.9877683086733947,Selection,mll
SV018,blindspot,1.0,0.9979775583952578,0.21897965134746675,0.8293596347248586,2.8386551029069587,0,0,35.140383044796074,92.20332178296012,0.9877683086733947,Matching,mll
SV019,blindspot,1.0,0.9948741386993477,0.35526611616762344,0.4429225726289592,1.7147554340414528,0,0,66.323041200407,154.56863809418198,0.7684441543370795,Averaging,mll
SV019,blindspot,1.0,0.9948741386993477,0.35526611616762344,0.4429225726289592,1.7147554340414528,0,0,66.323041200407,154.56863809418198,0.7684441543370795,Selection,mll
SV019,blindspot,1.0,0.9948741386993477,0.35526611616762344,0.4429225726289592,1.7147554340414528,0,0,66.323041200407,154.56863809418198,0.7684441543370795,Matching,mll
SV020,blindspot,1.0,0.999874110345701,0.33399737386103684,0.9602146658953326,1.6482556064298903,0,0,82.7271215445277,187.37679878242338,0.9468134379440667,Averaging,mll
SV020,blindspot,1.0,0.999874110345701,0.33399737386103684,0.9602146658953326,1.6482556064298903,0,0,82.7271215445277,187.37679878242338,0.9468134379440667,Selection,mll
SV020,blindspot,1.0,0.999874110345701,0.33399737386103684,0.9602146658953326,1.6482556064298903,0,0,82.7271215445277,187.37679878242338,0.9468134379440667,Matching,mll
SV021,blindspot,1.0,0.9847856259804223,0.20119595977140958,1.8358735629038483,2.968940879584886,0,0,40.83061488796133,103.58378546929063,0.9906184298216588,Averaging,mll
SV021,blindspot,1.0,0.9847856259804223,0.20119595977140958,1.8358735629038483,2.968940879584886,0,0,40.83061488796133,103.58378546929063,0.9906184298216588,Selection,mll
SV021,blindspot,1.0,0.9847856259804223,0.20119595977140958,1.8358735629038483,2.968940879584886,0,0,40.83061488796133,103.58378546929063,0.9906184298216588,Matching,mll
SV022,blindspot,1.0,0.9759061091837118,0.4952337744465088,0.8671276283901469,1.5428022544647548,0,0,121.31068861025953,264.54393291388703,0.8538096236250079,Averaging,mll
