subject_id,location,pcommon,sigma_v,sigma_a,sigma_p,mu_p,error,bic,r2,strategy,fit_type
SV022,control,0.4663624378043777,2.5146617871895005,0.1999723116746828,1.067530587432212,2.2797867215955168,1458.2280642135786,2959.953702168208,0.9994994337968902,Averaging,mll
SV023,control,0.9774246965856315,1.3424491416817963,0.1936004421926053,1.5926345191503362,3.0713402473292186,931.7400241659085,1906.977622072868,0.9999512360164949,Matching,mll
SV024,control,0.271041646709953,1.0565988952451282,0.2303521175173338,0.45888624719163923,2.3211565209806335,1276.5766738516456,2596.650921444342,0.999513005554085,Averaging,mll
SV025,control,0.355169343130157,0.9047452551174269,0.14162758466695602,0.6614962801955454,2.015119675107991,1276.2856054738002,2596.0687846886512,0.9997537385009698,Averaging,mll
SV026,control,0.9936109098335217,0.4140689808541847,0.16651571403212242,0.4342327401983228,2.334337225254735,539.5801527161135,1122.657879173278,0.9998609487806035,Selection,mll
SV027,control,0.06863453095268907,1.461953429412623,0.22890935190149614,1.4663451908004073,0.0011514373862307268,2275.8744159716716,4595.246405684395,0.998201442078289,Matching,mll
SV028,control,0.6084515927703541,2.0077924952748862,0.38482145953529545,0.7945149392240435,2.1920751007024695,2015.0694129137312,4073.6363995685133,0.9995869100616536,Matching,mll
SV029,control,0.19626474128102667,1.9466109700025316,0.24438559889156689,0.7883829458393316,2.169591419991996,1387.3866979885004,2818.2709697180517,0.9990021553959489,Averaging,mll
SV030,control,0.6315647149984847,0.6370336600182348,0.10075094670768388,0.5321225450214061,2.14686587095063,1036.4738447523544,2116.4452632457596,0.9997316513804941,Averaging,mll
SV031,control,0.9732560298992643,0.7312372055298386,0.13585029922789565,0.524390627231859,2.426622124654903,712.7471244339707,1468.9918226089924,0.999857080636274,Matching,mll
SV032,control,0.05116283266472222,0.8104676273269174,0.10154333419535781,0.45815131665353453,2.0981747843704017,735.3334185175579,1514.1644107761667,0.9999549622333636,Averaging,mll
SV033,control,0.7418258035794049,1.6433448883395403,0.21885586383958944,0.9909244007127839,2.3379831024228386,1257.3926707904996,2558.28291532205,0.9997518340068776,Averaging,mll
