subject_id,location,pcommon,sigma_v,sigma_a,sigma_p,mu_p,dU,dD,error,bic,r2,strategy,fit_type
SV009,blindspot,1.0,0.9895841914312293,0.8817189793492948,4000,1.5,0,0,178.84656562465867,368.6544090960013,0.5788477544752266,Averaging,mll
SV009,blindspot,1.0,0.9895841914312293,0.8817189793492948,4000,1.5,0,0,178.84656562465867,368.6544090960013,0.5788477544752266,Selection,mll
SV009,blindspot,1.0,0.9895841914312293,0.8817189793492948,4000,1.5,0,0,178.84656562465867,368.6544090960013,0.5788477544752266,Matching,mll
SV012,blindspot,1.0,0.9998359876960596,0.27331837579836304,4000,1.5,0,0,106.46423326221745,223.88974437111887,0.9222601520465095,Averaging,mll
SV012,blindspot,1.0,0.9998359876960596,0.27331837579836304,4000,1.5,0,0,106.46423326221745,223.88974437111887,0.9222601520465095,Selection,mll
SV012,blindspot,1.0,0.9998359876960596,0.27331837579836304,4000,1.5,0,0,106.46423326221745,223.88974437111887,0.9222601520465095,Matching,mll
SV013,blindspot,1.0,0.8447348232320318,0.31333409864109685,4000,1.5,0,0,107.92055077132801,226.80237938934,0.8115621616139607,Averaging,mll
SV013,blindspot,1.0,0.8447348232320318,0.31333409864109685,4000,1.5,0,0,107.92055077132801,226.80237938934,0.8115621616139607,Selection,mll
SV013,blindspot,1.0,0.8447348232320318,0.31333409864109685,4000,1.5,0,0,107.92055077132801,226.80237938934,0.8115621616139607,Matching,mll
SV017,blindspot,1.0,0.995086169683543,0.9382219895287698,4000,1.5,0,0,194.7026704604487,400.3666187675814,0.360163223837377,Averaging,mll
SV017,blindspot,1.0,0.995086169683543,0.9382219895287698,4000,1.5,0,0,194.7026704604487,400.3666187675814,0.360163223837377,Selection,mll
SV017,blindspot,1.0,0.995086169683543,0.9382219895287698,4000,1.5,0,0,194.7026704604487,400.3666187675814,0.360163223837377,Matching,mll
SV018,blindspot,1.0,0.8577862151524369,0.21642581979392692,4000,1.5,0,0,41.325003717188494,93.61128528106097,0.9698323367346784,Averaging,mll
SV018,blindspot,1.0,0.8577862151524369,0.21642581979392692,4000,1.5,0,0,41.325003717188494,93.61128528106097,0.9698323367346784,Selection,mll
SV018,blindspot,1.0,0.8577862151524369,0.21642581979392692,4000,1.5,0,0,41.325003717188494,93.61128528106097,0.9698323367346784,Matching,mll
SV019,blindspot,1.0,0.788505346539063,0.5234738605382991,4000,1.5,0,0,131.60584089737645,274.1729596414369,0.457761722076906,Averaging,mll
SV019,blindspot,1.0,0.788505346539063,0.5234738605382991,4000,1.5,0,0,131.60584089737645,274.1729596414369,0.457761722076906,Selection,mll
SV019,blindspot,1.0,0.788505346539063,0.5234738605382991,4000,1.5,0,0,131.60584089737645,274.1729596414369,0.457761722076906,Matching,mll
SV020,blindspot,1.0,0.8461088344412544,0.3318579412620582,4000,1.5,0,0,94.47592083713265,199.91311952094927,0.8642091804582369,Averaging,mll
SV020,blindspot,1.0,0.8461088344412544,0.3318579412620582,4000,1.5,0,0,94.47592083713265,199.91311952094927,0.8642091804582369,Selection,mll
