subject_id,location,pcommon,sigma_v,sigma_a,sigma_p,mu_p,dU,dD,error,bic,r2,strategy,fit_type
SV009,blindspot,0.3466990018256258,1.9242029083175343,0.2538983132368169,2.1641306692293685,0.37118146792669277,0,0,126.56701487009553,280.53722435690105,0.9699662445011168,Averaging,mll
SV009,blindspot,0.20445188664482392,1.235350240303983,0.24910672867109326,1.7196193442118284,0.39542077014384225,0,0,130.67245910673128,288.74811283017254,0.9438016204601508,Selection,mll
SV009,blindspot,0.09075693613838495,1.17600611573621,0.2246192419204681,1.8396810773169567,0.0637918026687986,0,0,129.61653861264688,286.63627184200374,0.9553013196928389,Matching,mll
SV012,blindspot,0.8356687527777517,0.8005485366962054,0.20255354593079059,2.9677280960912453,0.2401872307368853,0,0,100.687854695591,228.77890400789195,0.892514698830087,Averaging,mll
SV012,blindspot,0.588934592724969,2.9571846205071015,0.24201589103695328,2.993957520443737,2.459226505459625,0,0,80.53405246020593,188.4712995371218,0.95959300292396,Selection,mll
SV012,blindspot,0.7639193420332561,0.6852467711307075,0.16962867106614316,2.5535343514706845,0.47014805849464497,0,0,101.73825766880012,230.8797099543102,0.8804536871341619,Matching,mll
SV013,blindspot,0.6918770913745358,2.594493317846871,0.23589350697087091,1.0657794564434393,1.8456838306663352,0,0,74.50651299910783,176.4162206149256,0.9841547963581595,Averaging,mll
SV013,blindspot,0.8468663764712624,1.5200477296524053,0.31883872746543157,0.7629921861718875,1.8107090409664264,0,0,81.03743038091285,189.47805537853566,0.9674356297406277,Selection,mll
SV013,blindspot,0.6880426273673079,0.7145142914958705,0.19324515883219465,0.5631997761657977,1.6497631488217346,0,0,81.98903872346253,191.381272063635,0.9696012820382064,Matching,mll
SV017,blindspot,0.00725361408233576,1.5197063881556168,0.17463922222954972,0.7851289083044314,1.3599756999490193,0,0,82.17870807688293,191.7606107704758,0.9490314481519874,Averaging,mll
SV017,blindspot,0.04945156603353617,1.3921644710881065,0.19914365856372793,0.7356149594328638,1.330547228426652,0,0,83.15663701054484,193.71646863779964,0.9399823937208034,Selection,mll
SV017,blindspot,4.6398444970883306e-05,1.4131310852784629,0.19945306378468403,0.8247581834072428,1.309043549907448,0,0,82.7176910564132,192.83857672953636,0.9440381995604278,Matching,mll
SV018,blindspot,0.9763229230277343,2.1213604571157516,0.2317796364455441,0.6299207910797135,2.580957224637513,0,0,33.44275171439993,94.28869804550982,0.9968632653061101,Averaging,mll
