subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,response_type,loc_1,loc_2,loc_3,loc_4,loc_5
SV009,L,92,3,3,1,1,2,1,0,0,1,1,0
SV009,L,93,2,0,0,0,2,1,0,1,0,1,0
SV009,L,94,2,2,0,0,2,1,0,1,0,1,0
SV009,L,95,2,3,1,1,1,1,0,0,1,0,0
SV009,L,96,2,3,1,1,1,1,0,0,1,0,0
SV009,L,97,2,2,1,0,2,1,0,1,1,0,0
SV009,L,98,3,2,1,1,1,1,0,0,1,0,0
SV009,L,99,3,3,0,1,2,1,0,1,1,0,0
SV009,L,100,2,0,0,1,1,1,0,0,1,0,0
SV009,L,101,2,2,1,1,1,1,0,0,1,0,0
SV009,L,102,3,2,0,1,2,1,0,1,1,0,0
SV009,L,103,3,2,1,1,1,1,0,0,1,0,0
SV009,L,104,3,3,0,0,2,1,0,1,1,0,0
SV009,L,105,2,2,0,1,1,1,0,1,0,0,0
SV009,L,106,3,2,0,1,2,1,0,1,1,0,0
SV009,L,107,2,2,1,1,1,1,0,0,1,0,0
SV009,L,108,2,2,1,0,2,1,0,1,1,0,0
SV009,L,109,2,0,1,1,1,1,0,1,0,0,0
SV009,L,110,3,2,1,0,2,1,0,0,1,1,0
SV009,L,111,2,0,1,0,2,1,0,1,1,0,0
SV009,L,112,2,0,1,1,1,1,0,0,1,0,0
SV009,L,113,2,0,1,1,1,1,0,1,0,0,0
SV009,L,114,2,0,1,1,1,1,0,1,0,0,0
SV009,L,115,2,3,0,1,2,1,0,1,1,0,0
SV009,L,116,2,3,0,0,2,1,1,0,0,1,0
SV009,L,117,3,2,0,1,2,1,0,1,1,0,0
SV009,L,118,2,2,0,1,2,1,0,1,1,0,0
SV009,L,119,2,3,0,0,2,1,0,1,0,1,0
SV009,L,120,2,0,1,0,3,1,1,1,1,0,0
SV009,L,121,3,2,0,0,2,1,1,0,0,1,0
SV009,L,122,2,3,1,1,1,1,0,1,0,0,0
SV009,L,123,3,3,0,1,3,1,0,1,1,1,0
SV009,L,124,3,2,1,1,1,1,0,1,0,0,0
SV009,L,125,2,0,1,1,1,1,0,1,0,0,0
SV009,L,126,3,3,1,0,3,1,0,1,1,1,0
SV009,L,127,3,0,0,0,3,1,0,1,1,1,0
SV009,L,128,2,3,0,1,3,1,0,1,1,1,0
SV009,L,129,2,3,1,1,1,1,0,0,1,0,0
SV009,L,130,3,3,0,1,3,1,0,1,1,1,0
SV009,L,131,2,2,0,0,2,1,0,1,0,1,0
SV009,L,132,2,3,0,0,2,1,0,1,0,1,0
SV009,L,133,3,3,0,1,3,1,0,1,1,1,0
SV009,L,134,3,3,1,0,3,1,0,1,1,1,0
SV009,L,135,2,2,0,1,2,1,0,1,0,1,0
SV009,L,136,3,2,1,0,3,1,0,1,1,1,0
SV009,L,137,3,0,1,0,3,1,0,1,1,1,0
SV009,L,138,3,0,1,1,1,1,0,0,1,0,0
SV009,L,139,2,0,1,0,3,1,0,1,1,1,0
SV009,L,140,2,3,1,1,1,1,0,0,1,0,0
SV009,L,141,2,2,0,0,2,1,0,1,0,0,1
SV009,L,142,2,2,1,0,3,1,0,1,1,1,0
SV009,L,143,3,3,0,0,2,1,0,1,0,0,1
SV009,L,144,2,0,1,0,3,1,0,1,1,1,0
SV009,L,145,2,0,1,0,3,1,0,1,1,1,0
SV009,L,146,2,0,1,1,1,1,0,0,1,0,0
SV009,L,147,3,3,1,0,3,1,0,1,1,1,0
SV009,L,148,3,0,0,1,3,1,0,1,1,1,0
SV009,L,149,3,0,0,0,3,1,0,1,1,1,0
SV009,L,150,3,3,0,1,3,1,0,1,1,1,0
SV009,L,151,3,3,1,0,3,1,0,1,1,1,0
SV009,L,152,2,2,0,0,2,1,0,1,0,1,0
SV009,L,153,2,2,1,1,1,1,0,0,1,0,0
SV009,L,154,3,3,1,1,1,1,0,0,1,0,0
SV009,L,155,3,3,1,1,1,1,0,0,1,0,0
SV009,L,156,3,0,0,0,3,1,0,1,1,1,0
SV009,L,157,3,0,0,0,3,1,0,1,1,1,0
SV009,L,158,2,0,1,0,2,1,0,1,1,0,0
SV009,L,159,3,2,1,1,1,1,0,0,1,0,0
SV009,L,160,2,2,0,1,2,1,0,1,1,0,0
SV009,L,161,3,3,0,1,2,1,0,1,1,0,0
SV009,L,162,2,0,1,0,2,1,0,1,1,0,0
SV009,L,163,3,0,0,1,2,1,0,1,1,0,0
SV009,L,164,3,2,0,1,1,1,0,1,0,0,0
SV009,L,165,2,0,0,0,2,1,0,1,0,0,1
SV009,L,166,3,3,0,0,4,1,0,1,1,1,1
SV009,L,167,3,0,0,1,3,1,0,1,1,1,0
SV009,L,168,2,3,0,1,2,1,0,0,1,1,0
SV009,L,169,2,0,0,0,2,1,0,1,0,1,0
SV009,L,170,3,3,1,1,1,1,0,0,1,0,0
SV009,L,171,3,0,1,1,2,1,0,0,1,1,0
SV009,L,172,3,3,0,0,2,1,0,1,0,1,0
SV009,L,173,2,2,0,0,2,1,0,1,0,1,0
SV009,L,174,3,2,0,0,2,1,0,1,0,1,0
SV009,L,175,2,0,0,1,0,1,0,0,0,0,0
SV009,L,176,2,2,1,1,1,1,0,0,1,0,0
SV009,L,177,3,0,1,1,1,1,0,0,1,0,0
SV009,L,178,3,0,1,1,2,1,0,0,1,1,0
SV009,L,179,2,3,0,0,2,1,0,1,0,1,0
SV009,L,180,3,3,1,0,2,1,0,0,1,1,0
SV009,L,181,2,2,0,1,1,1,0,1,0,0,0
SV009,L,182,2,0,1,1,1,1,0,0,1,0,0
SV009,L,183,3,0,0,0,3,1,0,1,1,1,0
SV009,L,184,2,2,1,0,2,1,0,1,1,0,0
SV009,L,185,3,2,1,1,2,1,0,1,1,0,0
SV009,L,186,3,0,1,0,3,1,0,1,1,1,0
SV009,L,187,3,2,1,0,2,1,0,1,1,0,0
SV009,L,188,3,0,1,1,1,1,0,0,1,0,0
SV009,L,189,2,3,0,0,2,1,0,1,0,1,0
SV009,L,190,3,2,0,1,2,1,0,1,0,1,0
SV009,L,191,2,3,0,0,2,1,0,1,0,1,0
SV009,L,192,3,0,1,0,3,1,0,1,1,1,0
SV009,L,193,2,3,0,0,2,1,0,1,0,1,0
SV009,L,194,2,0,0,0,3,1,0,1,1,1,0
SV009,L,195,2,2,0,1,2,1,0,1,0,1,0
SV009,L,196,2,3,1,0,3,1,0,1,1,1,0
SV009,L,197,2,3,1,1,1,1,0,0,1,0,0
SV009,L,198,3,0,1,0,3,1,0,1,1,1,0
SV009,L,199,3,0,0,1,3,1,0,1,1,1,0
SV009,L,200,3,0,1,0,3,1,0,1,1,1,0
SV009,L,201,2,2,0,0,2,1,0,1,0,1,0
SV009,L,202,3,0,0,0,3,1,0,1,1,1,0
SV009,L,203,3,3,0,0,3,1,0,1,1,1,0
SV009,L,204,3,2,1,0,2,1,0,1,1,0,0
SV009,L,205,2,3,1,1,1,1,0,0,1,0,0
SV009,L,206,3,3,0,1,2,1,0,1,1,0,0
SV009,L,207,3,2,1,1,1,1,0,0,1,0,0
SV009,L,208,3,3,0,0,3,1,0,1,1,1,0
SV009,L,209,2,2,1,1,1,1,0,0,1,0,0
SV009,L,210,3,2,0,1,2,1,0,1,1,0,0
SV009,L,211,3,0,0,0,3,1,0,1,1,1,0
SV009,L,212,2,3,1,0,2,1,0,1,1,0,0
SV009,L,213,2,0,1,0,2,1,0,0,1,1,0
SV009,L,214,3,0,1,0,2,1,0,0,1,1,0
SV009,L,215,3,3,1,0,2,1,0,0,1,1,0
SV009,L,216,2,3,1,1,1,1,0,0,1,0,0
SV009,L,217,2,3,1,0,2,1,0,1,1,0,0
SV009,L,218,2,3,0,1,1,1,0,1,0,0,0
SV009,L,219,2,2,1,0,2,1,1,1,0,0,0
SV009,L,220,3,0,1,1,1,1,0,1,0,0,0
SV009,L,221,3,2,0,0,2,1,0,1,0,1,0
SV009,L,222,2,3,1,0,2,1,0,1,1,0,0
SV009,L,223,2,2,1,0,2,1,0,1,0,1,0
SV009,L,224,3,2,1,0,3,1,0,1,1,1,0
SV009,L,225,3,2,0,0,3,1,0,1,1,1,0
SV009,L,226,3,0,0,1,3,1,0,1,1,1,0
SV009,L,227,2,0,0,0,2,1,0,1,0,1,0
SV009,L,228,2,0,0,1,2,1,0,1,0,1,0
SV009,L,229,3,3,1,1,1,1,0,0,1,0,0
SV009,L,230,3,2,0,0,3,1,0,1,1,1,0
SV009,L,231,2,2,0,1,2,1,0,1,0,1,0
SV009,L,232,2,3,0,0,3,1,0,1,1,1,0
SV009,L,233,3,0,0,1,3,1,0,1,1,1,0
SV009,L,234,2,0,0,1,3,1,0,1,1,1,0
SV009,L,235,3,3,1,1,1,1,0,0,1,0,0
SV009,L,236,3,0,0,1,2,1,0,1,1,0,0
SV009,L,237,3,3,1,1,3,1,0,1,1,1,0
SV009,L,238,3,3,1,0,3,1,0,1,1,1,0
SV009,L,239,3,3,1,1,1,1,0,0,1,0,0
SV009,L,240,3,3,1,0,2,1,0,1,1,0,0
SV009,L,241,2,3,0,0,3,2,0,0,0,0,0
SV009,L,242,2,2,0,0,2,2,0,0,0,0,0
SV009,L,243,2,3,0,0,3,2,0,0,0,0,0
SV009,L,244,2,0,1,0,0,2,0,0,0,0,0
SV009,L,245,3,0,0,1,0,2,0,0,0,0,0
SV009,L,246,2,0,0,0,0,2,0,0,0,0,0
SV009,L,247,2,0,1,1,0,2,0,0,0,0,0
SV009,L,248,3,2,1,0,2,2,0,0,0,0,0
SV009,L,249,3,2,1,0,2,2,0,0,0,0,0
SV009,L,250,2,0,0,1,0,2,0,0,0,0,0
SV009,L,251,3,2,0,1,2,2,0,0,0,0,0
SV009,L,252,3,2,1,1,2,2,0,0,0,0,0
SV009,L,253,3,3,1,1,3,2,0,0,0,0,0
SV009,L,254,2,0,1,0,0,2,0,0,0,0,0
SV009,L,255,2,2,1,1,2,2,0,0,0,0,0
SV009,L,256,3,2,1,0,2,2,0,0,0,0,0
SV009,L,257,2,2,0,0,2,2,0,0,0,0,0
SV009,L,258,2,0,0,1,0,2,0,0,0,0,0
SV009,L,259,2,2,1,1,2,2,0,0,0,0,0
SV009,L,260,3,0,1,1,0,2,0,0,0,0,0
SV009,L,261,2,0,0,0,0,2,0,0,0,0,0
SV009,L,262,3,3,0,0,3,2,0,0,0,0,0
SV009,L,263,3,3,0,1,3,2,0,0,0,0,0
SV009,L,264,2,3,0,1,3,2,0,0,0,0,0
SV009,L,265,3,2,0,1,2,2,0,0,0,0,0
SV009,L,266,3,2,0,1,2,2,0,0,0,0,0
SV009,L,267,2,0,0,0,0,2,0,0,0,0,0
SV009,L,268,3,3,0,1,3,2,0,0,0,0,0
SV009,L,269,2,3,1,0,3,2,0,0,0,0,0
SV009,L,270,3,2,1,0,2,2,0,0,0,0,0
SV009,L,271,3,0,1,0,0,2,0,0,0,0,0
SV009,L,272,3,3,1,0,3,2,0,0,0,0,0
SV009,L,273,3,2,1,0,2,2,0,0,0,0,0
SV009,L,274,3,0,1,1,0,2,0,0,0,0,0
SV009,L,275,3,0,0,0,0,2,0,0,0,0,0
SV009,L,276,2,2,1,0,2,2,0,0,0,0,0
SV009,L,277,3,0,1,1,0,2,0,0,0,0,0
SV009,L,278,2,0,1,0,0,2,0,0,0,0,0
SV009,L,279,2,3,0,0,3,2,0,0,0,0,0
SV009,L,280,2,2,0,1,2,2,0,0,0,0,0
SV009,L,281,2,3,1,1,3,2,0,0,0,0,0
SV009,L,282,3,2,0,0,2,2,0,0,0,0,0
SV009,L,283,3,2,0,1,2,2,0,0,0,0,0
SV009,L,284,2,0,0,1,0,2,0,0,0,0,0
SV009,L,285,2,2,1,0,2,2,0,0,0,0,0
SV009,L,286,2,2,1,1,2,2,0,0,0,0,0
SV009,L,287,2,0,1,0,0,2,0,0,0,0,0
SV009,L,288,3,2,0,1,2,2,0,0,0,0,0
SV009,L,289,2,2,0,0,2,2,0,0,0,0,0
SV009,L,290,3,2,1,1,2,2,0,0,0,0,0
SV009,L,291,3,3,1,1,3,2,0,0,0,0,0
SV009,L,292,2,3,0,1,3,2,0,0,0,0,0
SV009,L,293,3,3,0,1,3,2,0,0,0,0,0
SV009,L,294,3,2,0,0,2,2,0,0,0,0,0
SV009,L,295,3,3,0,0,3,2,0,0,0,0,0
SV009,L,296,3,3,1,1,3,2,0,0,0,0,0
SV009,L,297,3,0,0,0,0,2,0,0,0,0,0
SV009,L,298,2,2,1,0,2,2,0,0,0,0,0
SV009,L,299,3,3,0,0,3,2,0,0,0,0,0
SV009,L,300,2,3,1,1,3,2,0,0,0,0,0
SV009,L,301,2,3,1,0,3,2,0,0,0,0,0
SV009,L,302,3,2,0,1,2,2,0,0,0,0,0
SV009,L,303,3,2,0,0,2,2,0,0,0,0,0
SV009,L,304,2,2,1,0,2,2,0,0,0,0,0
SV009,L,305,2,2,1,1,2,2,0,0,0,0,0
SV009,L,306,3,3,0,0,3,2,0,0,0,0,0
SV009,L,307,2,0,0,0,0,2,0,0,0,0,0
SV009,L,308,3,0,0,0,0,2,0,0,0,0,0
SV009,L,309,3,2,0,0,2,2,0,0,0,0,0
SV009,L,310,3,2,0,0,2,2,0,0,0,0,0
SV009,L,311,2,3,1,0,3,2,0,0,0,0,0
SV009,L,312,3,0,0,1,0,2,0,0,0,0,0
SV009,L,313,2,2,1,1,2,2,0,0,0,0,0
SV009,L,314,2,0,0,0,0,2,0,0,0,0,0
SV009,L,315,3,0,1,0,0,2,0,0,0,0,0
SV009,L,316,3,3,1,1,3,2,0,0,0,0,0
SV009,L,317,3,0,1,1,0,2,0,0,0,0,0
SV009,L,318,2,3,1,1,3,2,0,0,0,0,0
SV009,L,319,2,0,1,1,0,2,0,0,0,0,0
SV009,L,320,3,0,0,1,0,2,0,0,0,0,0
SV009,L,321,2,3,1,0,3,2,0,0,0,0,0
SV009,L,322,2,3,1,0,3,2,0,0,0,0,0
SV009,L,323,2,2,0,0,2,2,0,0,0,0,0
SV009,L,324,2,2,1,1,1,2,0,0,0,0,0
SV009,L,325,3,0,0,0,0,2,0,0,0,0,0
SV009,L,326,3,2,0,0,2,2,0,0,0,0,0
SV009,L,327,3,3,1,1,3,2,0,0,0,0,0
SV009,L,328,2,0,0,1,0,2,0,0,0,0,0
SV009,L,329,3,3,0,0,3,2,0,0,0,0,0
SV009,L,330,2,3,0,1,3,2,0,0,0,0,0
SV009,L,331,2,3,1,0,3,2,0,0,0,0,0
SV009,L,332,3,0,0,0,0,2,0,0,0,0,0
SV009,L,333,2,3,1,0,3,2,0,0,0,0,0
SV009,L,334,3,0,0,1,0,2,0,0,0,0,0
SV009,L,335,3,0,1,0,0,2,0,0,0,0,0
SV009,L,336,2,0,1,1,0,2,0,0,0,0,0
SV009,L,337,3,2,1,0,2,2,0,0,0,0,0
SV009,L,338,2,2,1,1,2,2,0,0,0,0,0
SV009,L,339,2,3,0,0,3,2,0,0,0,0,0
SV009,L,340,2,0,1,0,0,2,0,0,0,0,0
SV009,L,341,2,2,0,1,2,2,0,0,0,0,0
SV009,L,342,3,0,1,1,0,2,0,0,0,0,0
SV009,L,343,3,0,1,1,0,2,0,0,0,0,0
SV009,L,344,3,3,1,1,3,2,0,0,0,0,0
SV009,L,345,3,3,0,1,3,2,0,0,0,0,0
SV009,L,346,2,0,1,1,0,2,0,0,0,0,0
SV009,L,347,2,3,0,0,3,2,0,0,0,0,0
SV009,L,348,3,3,0,0,3,2,0,0,0,0,0
SV009,L,349,3,3,1,0,3,2,0,0,0,0,0
SV009,L,350,3,0,1,1,0,2,0,0,0,0,0
SV009,L,351,2,2,0,0,2,2,0,0,0,0,0
SV009,L,352,2,3,0,0,3,2,0,0,0,0,0
SV009,L,353,3,3,0,1,3,2,0,0,0,0,0
SV009,L,354,2,2,1,0,2,2,0,0,0,0,0
SV009,L,355,2,0,1,0,0,2,0,0,0,0,0
SV009,L,356,2,2,0,1,2,2,0,0,0,0,0
SV009,L,357,3,0,1,1,0,2,0,0,0,0,0
SV009,L,358,3,0,1,0,0,2,0,0,0,0,0
SV009,L,359,2,3,0,1,3,2,0,0,0,0,0
SV009,L,360,2,0,1,1,0,2,0,0,0,0,0
SV009,L,361,2,0,0,1,0,2,0,0,0,0,0
SV009,L,362,3,0,0,0,0,2,0,0,0,0,0
SV009,L,363,2,0,1,0,0,2,0,0,0,0,0
SV009,L,364,2,2,1,1,2,2,0,0,0,0,0
SV009,L,365,2,0,0,1,0,2,0,0,0,0,0
SV009,L,366,3,0,1,1,0,2,0,0,0,0,0
SV009,L,367,3,2,0,0,2,2,0,0,0,0,0
SV009,L,368,2,3,0,0,3,2,0,0,0,0,0
SV009,L,369,2,3,1,0,3,2,0,0,0,0,0
SV009,L,370,2,2,1,0,2,2,0,0,0,0,0
SV009,L,371,2,2,0,0,2,2,0,0,0,0,0
SV009,L,372,3,3,0,1,3,2,0,0,0,0,0
SV009,L,373,3,2,0,0,2,2,0,0,0,0,0
SV009,L,374,2,3,0,1,3,2,0,0,0,0,0
SV009,L,375,2,0,0,1,0,2,0,0,0,0,0
SV009,L,376,3,3,1,1,2,2,0,0,0,0,0
SV009,L,377,2,3,1,0,3,2,0,0,0,0,0
SV009,L,378,3,2,1,0,2,2,0,0,0,0,0
SV009,L,379,3,3,1,0,3,2,0,0,0,0,0
SV009,L,380,2,3,1,1,3,2,0,0,0,0,0
SV009,L,381,2,2,0,1,2,2,0,0,0,0,0
SV009,L,382,3,2,1,1,2,2,0,0,0,0,0
SV009,L,383,2,2,0,0,2,2,0,0,0,0,0
SV009,L,384,3,3,1,0,3,2,0,0,0,0,0
SV009,L,385,3,2,0,1,2,2,0,0,0,0,0
SV009,L,386,3,3,0,0,3,2,0,0,0,0,0
SV009,L,387,3,3,0,1,3,2,0,0,0,0,0
SV009,L,388,2,2,1,0,2,2,0,0,0,0,0
SV009,L,389,3,0,1,0,0,2,0,0,0,0,0
SV009,L,390,3,3,1,1,3,2,0,0,0,0,0
SV009,L,391,3,2,1,0,2,2,0,0,0,0,0
SV009,L,392,3,2,1,1,2,2,0,0,0,0,0
SV009,L,393,3,2,1,1,2,2,0,0,0,0,0
SV009,L,394,2,2,0,0,2,2,0,0,0,0,0
SV009,L,395,2,3,1,1,3,2,0,0,0,0,0
SV009,L,396,2,0,1,0,0,2,0,0,0,0,0
SV009,L,397,2,2,0,1,2,2,0,0,0,0,0
SV009,L,398,3,0,0,0,0,2,0,0,0,0,0
SV009,L,399,3,0,0,1,0,2,0,0,0,0,0
SV009,L,400,3,3,0,1,3,2,0,0,0,0,0
SV009,L,401,3,2,0,0,2,2,0,0,0,0,0
SV009,L,402,2,0,0,0,0,2,0,0,0,0,0
SV009,L,403,2,2,0,1,2,2,0,0,0,0,0
SV009,L,404,2,3,1,1,3,2,0,0,0,0,0
SV009,L,405,2,3,1,0,3,2,0,0,0,0,0
SV009,L,406,3,2,1,1,2,2,0,0,0,0,0
SV009,L,407,2,3,0,0,3,2,0,0,0,0,0
SV009,L,408,2,3,1,1,3,2,0,0,0,0,0
SV009,L,409,2,3,0,0,3,2,0,0,0,0,0
SV009,L,410,3,3,1,0,3,2,0,0,0,0,0
SV009,L,411,3,0,0,0,0,2,0,0,0,0,0
SV009,L,412,3,3,1,0,3,2,0,0,0,0,0
